Rank,Bank name,Headquarters location,"Headquarters location, City","Headquarters location, State",Total assets (billions of US$),Market capitalization (billions of US$)
81,First Hawaiian Bank,"Honolulu, Hawaii",Honolulu,Hawaii,$25.50 ,$3.13 
85,Bank of Hawaii,"Honolulu, Hawaii",Honolulu,Hawaii,$22.97 ,$3.24 
19,BMO Harris Bank,"Chicago, Illinois",Chicago,Illinois,$195.10 ,N/A
29,Northern Trust,"Chicago, Illinois",Chicago,Illinois,$169.10 ,$19.50 
46,CIBC Bank USA,"Chicago, Illinois",Chicago,Illinois,$60.60 ,N/A
87,First Midwest Bank,"Chicago, Illinois",Chicago,Illinois,$21.80 ,$1.99 
37,Discover Financial,"Riverwoods, Illinois",Riverwoods,Illinois,$108.50 ,$26.65 
54,Wintrust Financial,"Rosemont, Illinois",Rosemont,Illinois,$47.80 ,$3.63 
83,Old National Bank,"Evansville, Indiana",Evansville,Indiana,$24 ,$2.90 
15,State Street Corporation,"Boston, Massachusetts",Boston,Massachusetts,$323.10 ,$25.65 
34,Santander Bank,"Boston, Massachusetts",Boston,Massachusetts,$155.90 ,N/A
25,Ally Financial,"Detroit, Michigan",Detroit,Michigan,$179.20 ,$14.49 
77,Flagstar Bank,"Troy, Michigan",Troy,Michigan,$27 ,$2.48 
8,U.S. Bancorp,"Minneapolis, Minnesota",Minneapolis,Minnesota,$567.50 ,$85.07 
28,Ameriprise,"Minneapolis, Minnesota",Minneapolis,Minnesota,$170.70 ,$22.66 
66,Hancock Whitney,"Gulfport, Mississippi",Gulfport,Mississippi,$35.30 ,$3.16 
96,"Central Bancompany, Inc","Jefferson City, Missouri",Jefferson City,Missouri,$19.50 ,
60,UMB Financial Corporation,"Kansas City, Missouri",Kansas City,Missouri,$37.60 ,$3.46 
68,Commerce Bancshares,"Kansas City, Missouri",Kansas City,Missouri,$34.50 ,$8.20 
72,Stifel,"St. Louis, Missouri",St. Louis,Missouri,$30.80 ,$5.30 
98,"First Interstate Bancsystem, Inc.","Billings, Montana",Billings,Montana,$19.40 ,
88,"Glacier Bancorp, Inc","Kalispell, Montana",Kalispell,Montana,$21.30 ,
80,First National of Nebraska,"Omaha, Nebraska",Omaha,Nebraska,$25.80 ,N/A
56,John Deere Capital Corporation,"Reno, Nevada",Reno,Nevada,$43.30 ,$4.34 
11,"TD Bank, N.A.","Cherry Hill, New Jersey",Cherry Hill,New Jersey,$514.40 ,$105.70 
76,Investors Bank,"Short Hills, New Jersey",Short Hills,New Jersey,$27.40 ,$2.88 
57,Valley National Bank,"Wayne, New Jersey",Wayne,New Jersey,$41.30 ,$4.34 
35,M&T Bank,"Buffalo, New York",Buffalo,New York,$151.90 ,$17.61 
73,Sterling Bancorp,"Montebello, New York",Montebello,New York,$30 ,$3.73 
1,JPMorgan Chase,"New York City, New York",New York City,New York,"$3,758 ",$488.47 
3,Citigroup,"New York City, New York",New York City,New York,"$2,362 ",$123.94 
5,Goldman Sachs,"New York City, New York",New York City,New York,"$1,443 ",$100.70 
6,Morgan Stanley,"New York City, New York",New York City,New York,"$1,190 ",$182 
12,The Bank of New York Mellon,"New York City, New York",New York City,New York,$470.50 ,$36.66 
14,TIAA,"New York City, New York",New York City,New York,$338.80 ,N/A
16,HSBC Bank USA,"New York City, New York",New York City,New York,$253.90 ,N/A
21,UBS,"New York City, New York",New York City,New York,$188.40 ,$53.83 
24,American Express,"New York City, New York",New York City,New York,$184.30 ,$93.52 
27,Barclays,"New York City, New York",New York City,New York,$173.60 ,N/A
30,MUFG Union Bank,"New York City, New York",New York City,New York,$164.60 ,N/A
36,Deutsche Bank,"New York City, New York",New York City,New York,$124.70 ,N/A
38,Credit Suisse,"New York City, New York",New York City,New York,$105.90 ,N/A
50,CIT Group,"New York City, New York",New York City,New York,$54.40 ,$3.79 
52,Mizuho Financial Group,"New York City, New York",New York City,New York,$48.80 ,N/A
82,SMBC Americas Holdings Inc.,"New York City, New York",New York City,New York,$25.30 ,
47,New York Community Bank,"Westbury, New York",Westbury,New York,$57.90 ,$5.09 
2,Bank of America,"Charlotte, North Carolina",Charlotte,North Carolina,"$3,085 ",$325.33 
10,Truist Financial,"Charlotte, North Carolina",Charlotte,North Carolina,$529.90 ,$84.69 
48,First Citizens BancShares,"Raleigh, North Carolina",Raleigh,North Carolina,$56.90 ,$5.92 
18,Fifth Third Bank,"Cincinnati, Ohio",Cincinnati,Ohio,$207.70 ,$21.21 
23,KeyCorp,"Cleveland, Ohio",Cleveland,Ohio,$187.20 ,$17.04 
26,Huntington Bancshares,"Columbus, Ohio",Columbus,Ohio,$173.90 ,N/A
70,MidFirst Bank,"Oklahoma City, Oklahoma",Oklahoma City,Oklahoma,$31.30 ,$3.66 
55,BOK Financial Corporation,"Tulsa, Oklahoma",Tulsa,Oklahoma,$46.98 ,$5.41 
31,RBC Bank,"Toronto, Ontario",Toronto,Ontario,$164 ,N/A
71,Umpqua Holdings Corporation,"Portland, Oregon",Portland,Oregon,$30.90 ,$3.41 
79,Fulton Financial Corporation,"Lancaster, Pennsylvania",Lancaster,Pennsylvania,$26.30 ,$2.31 
9,PNC Financial Services,"Pittsburgh, Pennsylvania",Pittsburgh,Pennsylvania,$554.50 ,$85.08 
59,FNB Corporation,"Pittsburgh, Pennsylvania",Pittsburgh,Pennsylvania,$39.40 ,$3.30 
99,"Customers Bancorp, Inc","Wyomissing, Pennsylvania",Wyomissing,Pennsylvania,$19.10 ,
42,"Popular, Inc.","San Juan, Puerto Rico",San Juan,Puerto Rico,$74.20 ,$4.85 
89,First BanCorp,"San Juan, Puerto Rico",San Juan,Puerto Rico,$21.26 ,$2.98 
22,Citizens Financial Group,"Providence, Rhode Island",Providence,Rhode Island,$187.50 ,$15.83 
97,United Community Bank,"Greenville, South Carolina",Greenville,South Carolina,$19.50 ,
41,First Horizon National Corporation,"Memphis, Tennessee",Memphis,Tennessee,$88.50 ,$7.78 
61,Pinnacle Financial Partners,"Nashville, Tennessee",Nashville,Tennessee,$36.50 ,$5.54 
39,Comerica,"Dallas, Texas",Dallas,Texas,$94.70 ,$8.37 
63,Texas Capital Bank,"Dallas, Texas",Dallas,Texas,$36.40 ,$3.21 
100,EB Acquisition Company LLC,"Dallas, Texas",Dallas,Texas,$19.05 ,
62,Prosperity Bancshares,"Houston, Texas",Houston,Texas,$36.50 ,$6.34 
94,Cadence Bank,"Houston, Texas",Houston,Texas,$19.80 ,N/A
17,USAA,"San Antonio, Texas",San Antonio,Texas,$211.70 ,N/A
53,"Cullen/Frost Bankers, Inc.","San Antonio, Texas",San Antonio,Texas,$47.98 ,N/A
7,Charles Schwab Corporation,"Westlake, Texas",Westlake,Texas,$607.50 ,$105.62 
13,Capital One,"McLean, Virginia",McLean,Virginia,$425.40 ,$45.71 
92,Atlantic Union Bank,"Richmond, Virginia",Richmond,Virginia,$19.90 ,N/A
95,Washington Federal,"Seattle, Washington",Seattle,Washington,$19.70 ,$2.11 
74,United Bank (West Virginia),"Charleston, West Virginia",Charleston,West Virginia,$27.50 ,$4.35 
69,Associated Banc-Corp,"Green Bay, Wisconsin",Green Bay,Wisconsin,$34.40 ,$2.89 
